,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
P762,[0-6],[0-5],[0-4],[0-5],[0-6],[1-4],[0-4],[0-4],[0-5],[0-5],[0-4],[0-5],[0-5],[0-3],[0-5],[0-5],[1-5],[0-2],[0-4],[0-4],[0-4],[0-6],[0-3],[0-7],[0-6],[0-11],[0-6],[0-4],[0-4],[0-4],[0-4],[0-4],[0-5],[0-3],[0-4],[0-2],[0-5],[0-4],[0-4],[2-5],[0-3],[0-7],[0-3],[0-5],[0-6],[0-5],[0-6],[0-4],[0-4],[0-5],[2-9],[0-7],aab,Group: 23
P798,[0-6],[0-5],[0-4],[0-5],[0-6],[1-4],[0-4],[0-4],[0-5],[0-5],[0-4],[0-5],[0-5],[0-3],[0-5],[0-5],[1-5],[0-2],[0-4],[0-4],[0-4],[0-6],[0-3],[0-7],[0-6],[0-11],[0-6],[0-4],[0-4],[0-4],[0-4],[0-4],[0-5],[0-3],[0-4],[0-2],[0-5],[0-4],[0-4],[2-5],[0-3],[0-7],[0-3],[0-5],[0-6],[0-5],[0-6],[0-4],[0-4],[0-5],[2-9],[0-7],abb,Group: 23
P687,[0-6],[0-5],[0-4],[0-5],[0-6],[1-4],[0-4],[0-4],[0-5],[0-5],[0-4],[0-5],[0-5],[0-3],[0-5],[0-5],[1-5],[0-2],[0-4],[0-4],[0-4],[0-6],[0-3],[0-7],[0-6],[0-11],[0-6],[0-4],[0-4],[0-4],[0-4],[0-4],[0-5],[0-3],[0-4],[0-2],[0-5],[0-4],[0-4],[2-5],[0-3],[0-7],[0-3],[0-5],[0-6],[0-5],[0-6],[0-4],[0-4],[0-5],[2-9],[0-7],abb,Group: 23
P802,[0-6],[0-5],[0-4],[0-5],[0-6],[1-4],[0-4],[0-4],[0-5],[0-5],[0-4],[0-5],[0-5],[0-3],[0-5],[0-5],[1-5],[0-2],[0-4],[0-4],[0-4],[0-6],[0-3],[0-7],[0-6],[0-11],[0-6],[0-4],[0-4],[0-4],[0-4],[0-4],[0-5],[0-3],[0-4],[0-2],[0-5],[0-4],[0-4],[2-5],[0-3],[0-7],[0-3],[0-5],[0-6],[0-5],[0-6],[0-4],[0-4],[0-5],[2-9],[0-7],aab,Group: 23
P693,[0-6],[0-5],[0-4],[0-5],[0-6],[1-4],[0-4],[0-4],[0-5],[0-5],[0-4],[0-5],[0-5],[0-3],[0-5],[0-5],[1-5],[0-2],[0-4],[0-4],[0-4],[0-6],[0-3],[0-7],[0-6],[0-11],[0-6],[0-4],[0-4],[0-4],[0-4],[0-4],[0-5],[0-3],[0-4],[0-2],[0-5],[0-4],[0-4],[2-5],[0-3],[0-7],[0-3],[0-5],[0-6],[0-5],[0-6],[0-4],[0-4],[0-5],[2-9],[0-7],aab,Group: 23
P641,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],bab,Group: 26
P815,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],bab,Group: 26
P478,[0-2],[0-1],[0-1],[0-2],[0-3],[0-1],[0-2],[0-3],[0-1],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-2],[0-2],[0-2],[0-3],[0-2],[0-5],[0-1],[0-1],[0-3],[0-2],[0-3],[0-1],[0-2],[0-5],[0-1],[0-2],[0-3],[0-3],[0-1],[0-5],[0-4],[0-2],[0-3],[0-2],[0-2],[0-2],[0-1],[0-3],[0-5],[0-3],[0-3],[0-3],abb,Group: 24
P423,[0-2],[0-1],[0-1],[0-2],[0-3],[0-1],[0-2],[0-3],[0-1],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-2],[0-2],[0-2],[0-3],[0-2],[0-5],[0-1],[0-1],[0-3],[0-2],[0-3],[0-1],[0-2],[0-5],[0-1],[0-2],[0-3],[0-3],[0-1],[0-5],[0-4],[0-2],[0-3],[0-2],[0-2],[0-2],[0-1],[0-3],[0-5],[0-3],[0-3],[0-3],abb,Group: 24
P248,[0-2],[0-1],[0-1],[0-2],[0-3],[0-1],[0-2],[0-3],[0-1],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-2],[0-2],[0-2],[0-3],[0-2],[0-5],[0-1],[0-1],[0-3],[0-2],[0-3],[0-1],[0-2],[0-5],[0-1],[0-2],[0-3],[0-3],[0-1],[0-5],[0-4],[0-2],[0-3],[0-2],[0-2],[0-2],[0-1],[0-3],[0-5],[0-3],[0-3],[0-3],abb,Group: 24
P282,[0-2],[0-1],[0-1],[0-2],[0-3],[0-1],[0-2],[0-3],[0-1],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-2],[0-2],[0-2],[0-3],[0-2],[0-5],[0-1],[0-1],[0-3],[0-2],[0-3],[0-1],[0-2],[0-5],[0-1],[0-2],[0-3],[0-3],[0-1],[0-5],[0-4],[0-2],[0-3],[0-2],[0-2],[0-2],[0-1],[0-3],[0-5],[0-3],[0-3],[0-3],babbb,Group: 24
P451,[0-2],[0-1],[0-1],[0-2],[0-3],[0-1],[0-2],[0-3],[0-1],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-2],[0-2],[0-2],[0-3],[0-2],[0-5],[0-1],[0-1],[0-3],[0-2],[0-3],[0-1],[0-2],[0-5],[0-1],[0-2],[0-3],[0-3],[0-1],[0-5],[0-4],[0-2],[0-3],[0-2],[0-2],[0-2],[0-1],[0-3],[0-5],[0-3],[0-3],[0-3],babbb,Group: 24
P606,[0-2],[0-1],[0-1],[0-2],[0-3],[0-1],[0-2],[0-3],[0-1],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-3],[0-2],[0-2],[0-2],[0-2],[0-2],[0-3],[0-2],[0-5],[0-1],[0-1],[0-3],[0-2],[0-3],[0-1],[0-2],[0-5],[0-1],[0-2],[0-3],[0-3],[0-1],[0-5],[0-4],[0-2],[0-3],[0-2],[0-2],[0-2],[0-1],[0-3],[0-5],[0-3],[0-3],[0-3],babbb,Group: 24
P416,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P363,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P220,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P764,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],abb,Group: 25
P789,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],abb,Group: 25
P595,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],aba,Group: 25
P570,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],aba,Group: 25
P812,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],baa,Group: 25
P336,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],baa,Group: 25
P698,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],aba,Group: 25
P281,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],aba,Group: 25
P600,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],aab,Group: 25
P793,[0-3],[0-3],[0-5],[0-6],[0-2],[0-5],[0-4],[1-4],[0-5],[0-4],[1-4],[0-6],[0-5],[0-5],[1-9],[0-5],[1-4],[0-6],[1-10],[1-5],[0-5],[0-4],[0-7],[1-6],[1-9],[2-8],[0-4],[0-5],[0-3],[0-5],[0-6],[0-5],[0-5],[0-7],[0-3],[0-4],[0-7],[0-6],[0-4],[0-5],[0-7],[0-3],[0-5],[1-4],[0-6],[0-6],[0-7],[2-10],[1-4],[0-8],[0-8],[1-12],aab,Group: 25
P695,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],bab,Group: 26
P371,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],bab,Group: 26
P352,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],bcc,Group: 26
P396,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],bcc,Group: 26
P737,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],abb,Group: 26
P707,[0-2],[0-5],[0-3],[0-4],[0-6],[0-2],[0-2],[0-3],[0-4],[0-5],[0-6],[0-5],[0-3],[0-4],[0-7],[0-4],[0-5],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-7],[0-6],[0-3],[0-3],[0-3],[0-4],[0-3],[0-4],[0-7],[0-4],[0-4],[0-3],[0-3],[0-5],[0-7],[0-4],[0-4],[0-3],[0-2],[0-6],[0-5],[0-5],[0-4],[0-6],[0-4],[0-5],[0-5],[0-5],abb,Group: 26
P476,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P393,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P726,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P794,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P465,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P422,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P354,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P287,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P690,[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-2],[0-1],[0-2],[0-2],[0-1],[0-2],[0-2],[0-3],[0-4],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-2],[0-4],[0-2],[0-2],[0-3],[0-2],[0-4],[0-2],[0-2],[0-3],[0-3],[0-2],[0-2],[0-6],[0-2],[0-3],[0-3],[0-2],[0-5],[0-4],[0-2],[0-2],[0-1],[0-5],[0-2],[0-4],[0-3],[0-4],[0-5],[0-4],[0-5],aab,Group: 27
P808,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],aab,Group: 28
P108,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],aab,Group: 28
P587,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],aba,Group: 28
P291,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],aba,Group: 28
P298,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],bab,Group: 28
P788,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],bab,Group: 28
P701,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],bab,Group: 28
P356,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],bab,Group: 28
P637,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],abb,Group: 28
P611,[0-5],[1-7],[1-5],[0-7],[1-4],[0-5],[2-6],[1-6],[0-10],[0-5],[0-6],[1-7],[2-9],[2-7],[2-5],[0-7],[2-6],[0-5],[1-5],[1-9],[2-9],[2-6],[1-6],[3-9],[2-9],[2-8],[0-5],[1-5],[0-7],[1-9],[0-5],[0-4],[1-5],[1-8],[0-5],[0-5],[0-6],[1-7],[2-6],[2-6],[2-7],[2-7],[0-8],[1-7],[1-6],[1-7],[1-5],[1-5],[1-6],[2-6],[1-9],[3-14],abb,Group: 28
